director_name,movies,revenues,costs,gross_profit,return,count
Jonas Ã…kerlund,"[https://en.wikipedia.org/wiki/Spun, https://en.wikipedia.org/wiki/Horsemen_(film)]",0,0,0,,2
Josh Boone,[https://en.wikipedia.org/wiki/The_Fault_in_Our_Stars_(film)],307200000,12000000,141600000,11.8,1
Jim Kohlberg,[https://en.wikipedia.org/wiki/The_Music_Never_Stopped],0,0,0,,1
Bille Woodruff,"[https://en.wikipedia.org/wiki/Honey_(2003_film), https://en.wikipedia.org/wiki/Beauty_Shop, https://en.wikipedia.org/wiki/Addicted_(2014_film), https://en.wikipedia.org/wiki/The_Perfect_Match_(2016_film)]",127300000,53000000,10650000,0.200943396,4
Park Chan-wook,[https://en.wikipedia.org/wiki/Stoker_(film)],12100000,12000000,-5950000,-0.495833333,1
Catherine Hardwicke,"[https://en.wikipedia.org/wiki/Thirteen_(2003_film), https://en.wikipedia.org/wiki/Lords_of_Dogtown, https://en.wikipedia.org/wiki/The_Nativity_Story, https://en.wikipedia.org/wiki/Twilight_(2008_film), https://en.wikipedia.org/wiki/Twilight_(2008_film), https://en.wikipedia.org/wiki/Red_Riding_Hood_(2011_film), https://en.wikipedia.org/wiki/Plush_(film)]",946265242,180000000,293132621,1.628514561,7
David O'Malley[1],[https://en.wikipedia.org/wiki/Kalamazoo%3F],0,0,0,,1
Pauly Shore,[https://en.wikipedia.org/wiki/Pauly_Shore_Is_Dead],0,0,0,,1
Kirby Dick,[https://en.wikipedia.org/wiki/This_Film_Is_Not_Yet_Rated],0,0,0,,1
Joe Dante[1],[https://en.wikipedia.org/wiki/Looney_Tunes:_Back_in_Action],68500000,80000000,-45750000,-0.571875,1
Rodger Grossman,[https://en.wikipedia.org/wiki/What_We_Do_Is_Secret_(film)],0,0,0,,1
"Malika Zouhali-WorrallKatherine Fairfax Wright",[https://en.wikipedia.org/wiki/Call_Me_Kuchu],0,0,0,,1
John G. Avildsen,[https://en.wikipedia.org/wiki/Rocky_V],119900000,42000000,17950000,0.427380952,1
James Keach,[https://en.wikipedia.org/wiki/Waiting_for_Forever],25517,5000000,-4987241.5,-0.9974483,1
Gus Van Sant,"[https://en.wikipedia.org/wiki/Finding_Forrester, https://en.wikipedia.org/wiki/Elephant_(2003_film), https://en.wikipedia.org/wiki/Eric_Deulen, https://en.wikipedia.org/wiki/Last_Days_(film), https://en.wikipedia.org/wiki/Paranoid_Park_(film), https://en.wikipedia.org/wiki/Milk_(film), https://en.wikipedia.org/wiki/Restless_(2011_film)]",159313029,80000000,-343485.5,-0.004293569,7
Gary David Goldberg,[https://en.wikipedia.org/wiki/Must_Love_Dogs],58405313,30000000,-797343.5,-0.026578117,1
Neil Barsky,[https://en.wikipedia.org/wiki/Koch_(film)],0,0,0,,1
"Corey YuenLouis Leterrier (artistic director)","[https://en.wikipedia.org/wiki/The_Transporter, https://en.wikipedia.org/wiki/The_Transporter]",87800000,48000000,-4100000,-0.085416667,2
Todd Holland,[https://en.wikipedia.org/wiki/Firehouse_Dog],0,0,0,,1
Stefen Fangmeier,[https://en.wikipedia.org/wiki/Eragon_(film)],249500000,100000000,24750000,0.2475,1
Brett Ratner,"[https://en.wikipedia.org/wiki/The_Family_Man, https://en.wikipedia.org/wiki/Rush_Hour_2, https://en.wikipedia.org/wiki/Rush_Hour_(1998_film), https://en.wikipedia.org/wiki/Red_Dragon_(film), https://en.wikipedia.org/wiki/After_the_Sunset, https://en.wikipedia.org/wiki/X-Men:_The_Last_Stand, https://en.wikipedia.org/wiki/Rush_Hour_3, https://en.wikipedia.org/wiki/Rush_Hour_2, https://en.wikipedia.org/wiki/X-Men:_The_Last_Stand, https://en.wikipedia.org/wiki/Tower_Heist, https://en.wikipedia.org/wiki/Hercules_(2014_film)]",2908647797,1145000000,309323898.5,0.270151876,11
Koreyoshi Kurahara,[https://en.wikipedia.org/wiki/Nankyoku_Monogatari],0,0,0,,1
Jesse Peretz,"[https://en.wikipedia.org/wiki/The_Ex_(2007_film), https://en.wikipedia.org/wiki/Our_Idiot_Brother]",25861249,5000000,7930624.5,1.5861249,2
"Robert Rodriguez (Planet Terror, Machete)Quentin Tarantino (Death Proof)Rob Zombie (Werewolf Woman of the SS)Edgar Wright (Don't)Eli Roth (Thanksgiving)Jason Eisener (Hobo with a Shotgun)",[https://en.wikipedia.org/wiki/Grindhouse_(film)],25400000,53000000,-40300000,-0.760377358,1
Mickey Liddell,[https://en.wikipedia.org/wiki/The_Haunting_of_Molly_Hartley],15400000,5000000,2700000,0.54,1
Anne Fletcher,"[https://en.wikipedia.org/wiki/Step_Up_(film), https://en.wikipedia.org/wiki/27_Dresses, https://en.wikipedia.org/wiki/Step_Up_(film), https://en.wikipedia.org/wiki/The_Proposal_(film), https://en.wikipedia.org/wiki/The_Guilt_Trip_(film), https://en.wikipedia.org/wiki/Hot_Pursuit_(2015_film)]",799700000,169000000,230850000,1.365976331,6
Danny Boyle,"[https://en.wikipedia.org/wiki/The_Beach_(film), https://en.wikipedia.org/wiki/Sunshine_(2007_film), https://en.wikipedia.org/wiki/127_Hours]",236800000,108000000,10400000,0.096296296,3
Sam Raimi,"[https://en.wikipedia.org/wiki/The_Gift_(2000_film), https://en.wikipedia.org/wiki/Spider-Man_(2002_film), https://en.wikipedia.org/wiki/Spider-Man_2, https://en.wikipedia.org/wiki/Spider-Man_(2002_film), https://en.wikipedia.org/wiki/Spider-Man_3, https://en.wikipedia.org/wiki/Spider-Man_2, https://en.wikipedia.org/wiki/Drag_Me_to_Hell, https://en.wikipedia.org/wiki/Oz_the_Great_and_Powerful]",4730600000,1138200000,1227100000,1.078105781,8
Alejandro Gomez Monteverde,[https://en.wikipedia.org/wiki/Bella_(film)],12083296,3300000,2741648,0.830802424,1
"Ralph ZondagEric Leighton",[https://en.wikipedia.org/wiki/Dinosaur_(film)],349800000,127500000,47400000,0.371764706,1
Joel Hopkins,[https://en.wikipedia.org/wiki/Last_Chance_Harvey],32561321,5000000,11280660.5,2.2561321,1
"Jennifer Yuh NelsonAlessandro Carloni",[https://en.wikipedia.org/wiki/Kung_Fu_Panda_3],521200000,145000000,115600000,0.797241379,1
Steve Beck,"[https://en.wikipedia.org/wiki/Thirteen_Ghosts, https://en.wikipedia.org/wiki/Ghost_Ship_(2002_film)]",136767960,62000000,6383980,0.102967419,2
"Scott AlexanderLarry Karaszewski",[https://en.wikipedia.org/wiki/Screwed_(2000_film)],0,0,0,,1
Michael Ritchie,[https://en.wikipedia.org/wiki/The_Bad_News_Bears],42349782,9000000,12174891,1.352765667,1
David Lynch,"[https://en.wikipedia.org/wiki/Mulholland_Drive_(film), https://en.wikipedia.org/wiki/Inland_Empire_(film)]",20100000,15000000,-4950000,-0.33,2
Walt Becker,"[https://en.wikipedia.org/wiki/National_Lampoon%27s_Van_Wilder, https://en.wikipedia.org/wiki/National_Lampoon%27s_Van_Wilder, https://en.wikipedia.org/wiki/Wild_Hogs, https://en.wikipedia.org/wiki/Old_Dogs_(film)]",427000000,105000000,108500000,1.033333333,4
John Hillcoat,"[https://en.wikipedia.org/wiki/The_Road_(2009_film), https://en.wikipedia.org/wiki/Lawless_(film), https://en.wikipedia.org/wiki/Triple_9]",104700000,71000000,-18650000,-0.262676056,3
Eric Blakeney,[https://en.wikipedia.org/wiki/Gun_Shy_(film)],3221280,14000000,-12389360,-0.884954286,1
Reggie Rock Bythewood,[https://en.wikipedia.org/wiki/Biker_Boyz],23510601,24000000,-12244699.5,-0.510195813,1
Arthur Hiller,[https://en.wikipedia.org/wiki/The_In-Laws_(1979_film)],38200000,9000000,10100000,1.122222222,1
Quentin Tarantino,"[https://en.wikipedia.org/wiki/Kill_Bill#Volume_1, https://en.wikipedia.org/wiki/Kill_Bill#Volume_2, https://en.wikipedia.org/wiki/Kill_Bill#Volume_1, https://en.wikipedia.org/wiki/Inglourious_Basterds, https://en.wikipedia.org/wiki/Django_Unchained]",1746200000,350000000,523100000,1.494571429,5
Chris Gorak,"[https://en.wikipedia.org/wiki/Right_at_Your_Door, https://en.wikipedia.org/wiki/The_Darkest_Hour_(film)]",64600000,30000000,2300000,0.076666667,2
Ondi Timoner,"[https://en.wikipedia.org/wiki/Dig!, https://en.wikipedia.org/wiki/We_Live_in_Public]",0,0,0,,2
Michael Pavone,[https://en.wikipedia.org/wiki/That%27s_What_I_Am],0,0,0,,1
Frank Oz,"[https://en.wikipedia.org/wiki/The_Score_(2001_film), https://en.wikipedia.org/wiki/The_Stepford_Wives_(2004_film), https://en.wikipedia.org/wiki/Death_at_a_Funeral_(2007_film)]",262381544,167000000,-35809228,-0.214426515,3
Sergei Bodrov,[https://en.wikipedia.org/wiki/Seventh_Son_(film)],114200000,95000000,-37900000,-0.398947368,1
Louis C.K.,[https://en.wikipedia.org/wiki/Pootie_Tang],3300000,7000000,-5350000,-0.764285714,1
William Malone,[https://en.wikipedia.org/wiki/FeardotCom],18900000,40000000,-30550000,-0.76375,1
Douglas McGrath,"[https://en.wikipedia.org/wiki/Nicholas_Nickleby_(2002_film), https://en.wikipedia.org/wiki/Infamous_(film), https://en.wikipedia.org/wiki/I_Don%27t_Know_How_She_Does_It]",36865212,47000000,-28567394,-0.607816894,3
Todd Solondz,"[https://en.wikipedia.org/wiki/Storytelling_(film), https://en.wikipedia.org/wiki/Palindromes_(film), https://en.wikipedia.org/wiki/Life_During_Wartime_(film), https://en.wikipedia.org/wiki/Happiness_(1998_film)]",3552206,7500000,-5723897,-0.763186267,4
Barbet Schroeder,[https://en.wikipedia.org/wiki/Murder_by_Numbers],56714147,50000000,-21642926.5,-0.43285853,1
Jessica Bendinger,[https://en.wikipedia.org/wiki/Stick_It],31976848,20000000,-4011576,-0.2005788,1
"Anthony Hemingway",[https://en.wikipedia.org/wiki/Red_Tails],50400000,58000000,-32800000,-0.565517241,1
Lodge Kerrigan,[https://en.wikipedia.org/wiki/Keane_(film)],394390,850000,-652805,-0.768005882,1
Paul Haggis,"[https://en.wikipedia.org/wiki/Crash_(2004_film), https://en.wikipedia.org/wiki/In_the_Valley_of_Elah, https://en.wikipedia.org/wiki/The_Next_Three_Days]",195300000,59500000,38150000,0.641176471,3
Marnie of [my] Memories,[https://en.wikipedia.org/wiki/When_Marnie_Was_There],0,0,0,,1
Kurt Wimmer,"[https://en.wikipedia.org/wiki/Equilibrium_(film), https://en.wikipedia.org/wiki/Ultraviolet_(film)]",36400000,50000000,-31800000,-0.636,2
Stanley Tucci,[https://en.wikipedia.org/wiki/Joe_Gould%27s_Secret_(film)],0,0,0,,1
Jonathan Hensleigh,"[https://en.wikipedia.org/wiki/The_Punisher_(2004_film), https://en.wikipedia.org/wiki/Kill_the_Irishman]",55890000,45000000,-17055000,-0.379,2
Ericson Core,"[https://en.wikipedia.org/wiki/Invincible_(2006_film), https://en.wikipedia.org/wiki/Point_Break_(2015_film)]",192200000,135000000,-38900000,-0.288148148,2
Kevin Asch,[https://en.wikipedia.org/wiki/Holy_Rollers_(film)],0,0,0,,1
Fede ÃÅlvarez,[https://en.wikipedia.org/wiki/Evil_Dead_(2013_film)],97500000,17000000,31750000,1.867647059,1
Jesse V. Johnson,[https://en.wikipedia.org/wiki/The_Package_(2013_film)],0,0,0,,1
RZA,[https://en.wikipedia.org/wiki/The_Man_with_the_Iron_Fists],19700000,15000000,-5150000,-0.343333333,1
Aaron Schneider,[https://en.wikipedia.org/wiki/Get_Low_(film)],9700000,7000000,-2150000,-0.307142857,1
Peter Landesman,"[https://en.wikipedia.org/wiki/Parkland_(film), https://en.wikipedia.org/wiki/Concussion_(2015_film)]",50012181,45000000,-19993909.5,-0.4443091,2
Kevin Tancharoen,"[https://en.wikipedia.org/wiki/Fame_(2009_film), https://en.wikipedia.org/wiki/Glee:_The_3D_Concert_Movie]",95884633,27000000,20942316.5,0.775641352,2
Alexandre Aja,"[https://en.wikipedia.org/wiki/The_Hills_Have_Eyes_(2006_film), https://en.wikipedia.org/wiki/The_Hills_Have_Eyes_(2006_film), https://en.wikipedia.org/wiki/Mirrors_(film), https://en.wikipedia.org/wiki/Mirrors_(film), https://en.wikipedia.org/wiki/Piranha_3-D]",377300000,124000000,64650000,0.521370968,5
Sophie Barthes,[https://en.wikipedia.org/wiki/Cold_Souls],0,0,0,,1
GÃ¡bor CsupÃ_,[https://en.wikipedia.org/wiki/Bridge_to_Terabithia_(2007_film)],137600000,20000000,48800000,2.44,1
Gregory Hoblit,"[https://en.wikipedia.org/wiki/Frequency_(film), https://en.wikipedia.org/wiki/Hart%27s_War, https://en.wikipedia.org/wiki/Fracture_(2007_film), https://en.wikipedia.org/wiki/Untraceable]",120759594,66000000,-5620203,-0.085154591,4
Bennett Miller,"[https://en.wikipedia.org/wiki/Capote_(film), https://en.wikipedia.org/wiki/Moneyball_(film), https://en.wikipedia.org/wiki/Foxcatcher]",173000000,81000000,5500000,0.067901235,3
Daisy von Scherler Mayer,[https://en.wikipedia.org/wiki/The_Guru_(2002_film)],24128852,11000000,1064426,0.096766,1
Matthew Weiner,[https://en.wikipedia.org/wiki/You_Are_Here_(2013_film)],0,0,0,,1
Dan Mazer,[https://en.wikipedia.org/wiki/Dirty_Grandpa],99900000,11500000,38450000,3.343478261,1
Scott Derrickson,"[https://en.wikipedia.org/wiki/The_Exorcism_of_Emily_Rose, https://en.wikipedia.org/wiki/The_Day_the_Earth_Stood_Still_(2008_film), https://en.wikipedia.org/wiki/Sinister_(film), https://en.wikipedia.org/wiki/Deliver_Us_from_Evil_(2014_film)]",542900000,132300000,139150000,1.051776266,4
Brad Silberling,"[https://en.wikipedia.org/wiki/Moonlight_Mile_(film), https://en.wikipedia.org/wiki/Lemony_Snicket%27s_A_Series_of_Unfortunate_Events, https://en.wikipedia.org/wiki/10_Items_or_Less_(film), https://en.wikipedia.org/wiki/Land_of_the_Lost_(film)]",287900000,261000000,-117050000,-0.448467433,4
Chris Robinson,[https://en.wikipedia.org/wiki/ATL_(film)],21200000,20000000,-9400000,-0.47,1
yÇên shÃ_ nÃ¡n nÇ_,[https://en.wikipedia.org/wiki/Eat_Drink_Man_Woman],0,0,0,,1
David R. Ellis,"[https://en.wikipedia.org/wiki/Final_Destination_2, https://en.wikipedia.org/wiki/Cellular_(film), https://en.wikipedia.org/wiki/Final_Destination_2, https://en.wikipedia.org/wiki/Snakes_on_a_Plane, https://en.wikipedia.org/wiki/The_Final_Destination, https://en.wikipedia.org/wiki/The_Final_Destination, https://en.wikipedia.org/wiki/Shark_Night_3D]",711789289,215000000,140894644.5,0.655323928,7
Lorene Scafaria,[https://en.wikipedia.org/wiki/Seeking_a_Friend_for_the_End_of_the_World],9600000,10000000,-5200000,-0.52,1
Sean McGinly,[https://en.wikipedia.org/wiki/The_Great_Buck_Howard],0,0,0,,1
Nicole Holofcener,"[https://en.wikipedia.org/wiki/Lovely_%26_Amazing, https://en.wikipedia.org/wiki/Friends_with_Money, https://en.wikipedia.org/wiki/Please_Give, https://en.wikipedia.org/wiki/Enough_Said_(film)]",52795781,17750000,8647890.5,0.487205099,4
Stacie Passon,[https://en.wikipedia.org/wiki/Concussion_(2013_film)],0,0,0,,1
Phyllida Lloyd,[https://en.wikipedia.org/wiki/Mamma_Mia!_(film)],609800000,52000000,252900000,4.863461538,1
Dan Ireland,[https://en.wikipedia.org/wiki/Mrs._Palfrey_at_the_Claremont],3919275,750000,1209637.5,1.61285,1
Luke Scott,[https://en.wikipedia.org/wiki/Morgan_(2016_film)],8800000,8000000,-3600000,-0.45,1
Ã‰va GÃ¡rdos,[https://en.wikipedia.org/wiki/An_American_Rhapsody],0,0,0,,1
Joel Gallen,[https://en.wikipedia.org/wiki/Not_Another_Teen_Movie],66500000,15000000,18250000,1.216666667,1
Ed Gass-Donnelly,[https://en.wikipedia.org/wiki/The_Last_Exorcism_Part_II],15100000,5000000,2550000,0.51,1
Ernest R. Dickerson,[https://en.wikipedia.org/wiki/Never_Die_Alone],0,0,0,,1
Jorge R. Gutierrez,[https://en.wikipedia.org/wiki/The_Book_of_Life_(2014_film)],99800000,50000000,-100000,-0.002,1
Asger Leth,[https://en.wikipedia.org/wiki/Man_on_a_Ledge],46200000,42000000,-18900000,-0.45,1
Anand Tucker,"[https://en.wikipedia.org/wiki/Shopgirl_(film), https://en.wikipedia.org/wiki/Leap_Year_(2010_film)]",32600000,19000000,-2700000,-0.142105263,2
Sydney Pollack,[https://en.wikipedia.org/wiki/The_Interpreter],162900000,80000000,1450000,0.018125,1
Janusz KamiÅ„ski,[https://en.wikipedia.org/wiki/Lost_Souls_(film)],31355910,50000000,-34322045,-0.6864409,1
Bobcat Goldthwait,"[https://en.wikipedia.org/wiki/Sleeping_Dogs_Lie_(2006_film), https://en.wikipedia.org/wiki/World%27s_Greatest_Dad, https://en.wikipedia.org/wiki/God_Bless_America_(film)]",295750,10000000,-9852125,-0.9852125,3
Jamie Travis,"[https://en.wikipedia.org/wiki/For_a_Good_Time,_Call...]",1251749,1300000,-674125.5,-0.518558077,1
Edgar Wright,[https://en.wikipedia.org/wiki/Scott_Pilgrim_vs._the_World],47700000,85000000,-61150000,-0.719411765,1
Iain Softley,"[https://en.wikipedia.org/wiki/K-PAX_(film), https://en.wikipedia.org/wiki/The_Skeleton_Key, https://en.wikipedia.org/wiki/Inkheart_(film)]",219451846,171000000,-61274077,-0.358327936,3
Tamara Jenkins,[https://en.wikipedia.org/wiki/The_Savages_(film)],9610042,9000000,-4194979,-0.466108778,1
"Steve MartinoMichael Thurmeier",[https://en.wikipedia.org/wiki/Ice_Age:_Continental_Drift],877000000,95000000,343500000,3.615789474,1
Lawrence Guterman,"[https://en.wikipedia.org/wiki/Cats_%26_Dogs, https://en.wikipedia.org/wiki/Son_of_the_Mask, https://en.wikipedia.org/wiki/Cats_%26_Dogs]",459000000,204000000,25500000,0.125,3
Hannah Fidell,[https://en.wikipedia.org/wiki/A_Teacher],0,0,0,,1
"Don BluthGary Goldman",[https://en.wikipedia.org/wiki/Titan_A.E.],36800000,75000000,-56600000,-0.754666667,1
Bruno Barreto,[https://en.wikipedia.org/wiki/View_from_the_Top],19500000,30000000,-20250000,-0.675,1
Phil Traill,[https://en.wikipedia.org/wiki/All_About_Steve],40100000,15000000,5050000,0.336666667,1
Steven Zaillian,[https://en.wikipedia.org/wiki/All_the_King%27s_Men_(2006_film)],9500000,55000000,-50250000,-0.913636364,1
Babak Najafi,[https://en.wikipedia.org/wiki/London_Has_Fallen],205800000,60000000,42900000,0.715,1
George Lucas,"[https://en.wikipedia.org/wiki/Star_Wars:_Episode_II_%E2%80%93_Attack_of_the_Clones, https://en.wikipedia.org/wiki/Star_Wars:_Episode_I_%E2%80%93_The_Phantom_Menace, https://en.wikipedia.org/wiki/Star_Wars:_Episode_III_%E2%80%93_Revenge_of_the_Sith, https://en.wikipedia.org/wiki/Star_Wars:_Episode_II_%E2%80%93_Attack_of_the_Clones, https://en.wikipedia.org/wiki/Star_Wars:_Episode_I_%E2%80%93_The_Phantom_Menace]",4201600000,573000000,1527800000,2.666317627,5
James Gunn,"[https://en.wikipedia.org/wiki/Slither_(2006_film), https://en.wikipedia.org/wiki/Super_(2010_American_film), https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_(film)]",786522618,249800000,143461309,0.57430468,3
Francine McDougall,[https://en.wikipedia.org/wiki/Sugar_%26_Spice],16908947,27000000,-18545526.5,-0.686871352,1
Jon Turteltaub,"[https://en.wikipedia.org/wiki/Disney%27s_The_Kid_(2000_film), https://en.wikipedia.org/wiki/National_Treasure_(film), https://en.wikipedia.org/wiki/National_Treasure:_Book_of_Secrets, https://en.wikipedia.org/wiki/National_Treasure_(film), https://en.wikipedia.org/wiki/The_Sorcerer%27s_Apprentice_(2010_film), https://en.wikipedia.org/wiki/Last_Vegas]",1634400000,573000000,244200000,0.42617801,6
Rupert Wainwright,[https://en.wikipedia.org/wiki/The_Fog_(2005_film)],46201432,18000000,5100716,0.283373111,1
Christine Lahti,[https://en.wikipedia.org/wiki/My_First_Mister],595005,5250000,-4952497.5,-0.943332857,1
Brian Pimental,[https://en.wikipedia.org/wiki/Bambi_II],0,0,0,,1
Steve McQueen,[https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)],187700000,17100000,76750000,4.488304094,1
Alan Taylor,"[https://en.wikipedia.org/wiki/Thor:_The_Dark_World, https://en.wikipedia.org/wiki/Terminator_Genisys]",1085200000,325000000,217600000,0.669538462,2
Charles S. Dutton,[https://en.wikipedia.org/wiki/Against_the_Ropes],6614280,39000000,-35692860,-0.915201538,1
Sharon Maguire,"[https://en.wikipedia.org/wiki/Bridget_Jones%27s_Diary_(film), https://en.wikipedia.org/wiki/Bridget_Jones%27s_Baby]",493900000,60000000,186950000,3.115833333,2
Hugh Hudson,[https://en.wikipedia.org/wiki/I_Dreamed_of_Africa],14400327,50000000,-42799836.5,-0.85599673,1
Bruce Hunt,[https://en.wikipedia.org/wiki/The_Cave_(film)],33296457,30000000,-13351771.5,-0.44505905,1
Hoyt Yeatman,[https://en.wikipedia.org/wiki/G-Force_(film)],292800000,150000000,-3600000,-0.024,1
Michael O. Sajbel,[https://en.wikipedia.org/wiki/One_Night_with_the_King],13728450,20000000,-13135775,-0.65678875,1
Anthony Burns,[https://en.wikipedia.org/wiki/Skateland],0,0,0,,1
Jamie Babbit,[https://en.wikipedia.org/wiki/Itty_Bitty_Titty_Committee],0,0,0,,1
