0,director_name,movies,revenues,costs,gross_profit,return,count
Brett Ratner,Brett Ratner,"[https://en.wikipedia.org/wiki/The_Family_Man, https://en.wikipedia.org/wiki/Rush_Hour_2, https://en.wikipedia.org/wiki/Rush_Hour_(1998_film), https://en.wikipedia.org/wiki/Red_Dragon_(film), https://en.wikipedia.org/wiki/After_the_Sunset, https://en.wikipedia.org/wiki/X-Men:_The_Last_Stand, https://en.wikipedia.org/wiki/Rush_Hour_3, https://en.wikipedia.org/wiki/Rush_Hour_2, https://en.wikipedia.org/wiki/X-Men:_The_Last_Stand, https://en.wikipedia.org/wiki/Tower_Heist, https://en.wikipedia.org/wiki/Hercules_(2014_film)]",2908647797.0,1145000000.0,309323898.5,0.270151876419,11
Koreyoshi Kurahara,Koreyoshi Kurahara,[https://en.wikipedia.org/wiki/Nankyoku_Monogatari],0.0,0.0,0.0,,1
Jesse Peretz,Jesse Peretz,"[https://en.wikipedia.org/wiki/The_Ex_(2007_film), https://en.wikipedia.org/wiki/Our_Idiot_Brother]",25861249.0,5000000.0,7930624.5,1.5861249,2
"Robert Rodriguez (Planet Terror, Machete)
Quentin Tarantino (Death Proof)
Rob Zombie (Werewolf Woman of the SS)
Edgar Wright (Don't)
Eli Roth (Thanksgiving)
Jason Eisener (Hobo with a Shotgun)","Robert Rodriguez (Planet Terror, Machete)
Quentin Tarantino (Death Proof)
Rob Zombie (Werewolf Woman of the SS)
Edgar Wright (Don't)
Eli Roth (Thanksgiving)
Jason Eisener (Hobo with a Shotgun)",[https://en.wikipedia.org/wiki/Grindhouse_(film)],25400000.0,53000000.0,-40300000.0,-0.760377358491,1
Mickey Liddell,Mickey Liddell,[https://en.wikipedia.org/wiki/The_Haunting_of_Molly_Hartley],15400000.0,5000000.0,2700000.0,0.54,1
Anne Fletcher,Anne Fletcher,"[https://en.wikipedia.org/wiki/Step_Up_(film), https://en.wikipedia.org/wiki/27_Dresses, https://en.wikipedia.org/wiki/Step_Up_(film), https://en.wikipedia.org/wiki/The_Proposal_(film), https://en.wikipedia.org/wiki/The_Guilt_Trip_(film), https://en.wikipedia.org/wiki/Hot_Pursuit_(2015_film)]",799700000.0,169000000.0,230850000.0,1.36597633136,6
Danny Boyle,Danny Boyle,"[https://en.wikipedia.org/wiki/The_Beach_(film), https://en.wikipedia.org/wiki/Sunshine_(2007_film), https://en.wikipedia.org/wiki/127_Hours]",236800000.0,108000000.0,10400000.0,0.0962962962963,3
Sam Raimi,Sam Raimi,"[https://en.wikipedia.org/wiki/The_Gift_(2000_film), https://en.wikipedia.org/wiki/Spider-Man_(2002_film), https://en.wikipedia.org/wiki/Spider-Man_2, https://en.wikipedia.org/wiki/Spider-Man_(2002_film), https://en.wikipedia.org/wiki/Spider-Man_3, https://en.wikipedia.org/wiki/Spider-Man_2, https://en.wikipedia.org/wiki/Drag_Me_to_Hell, https://en.wikipedia.org/wiki/Oz_the_Great_and_Powerful]",4730600000.0,1138200000.0,1227100000.0,1.07810578106,8
Alejandro Gomez Monteverde,Alejandro Gomez Monteverde,[https://en.wikipedia.org/wiki/Bella_(film)],12083296.0,3300000.0,2741648.0,0.830802424242,1
"


Ralph Zondag
Eric Leighton


","


Ralph Zondag
Eric Leighton


",[https://en.wikipedia.org/wiki/Dinosaur_(film)],349800000.0,127500000.0,47400000.0,0.371764705882,1
Joel Hopkins,Joel Hopkins,[https://en.wikipedia.org/wiki/Last_Chance_Harvey],32561321.0,5000000.0,11280660.5,2.2561321,1
"


Jennifer Yuh Nelson
Alessandro Carloni


","


Jennifer Yuh Nelson
Alessandro Carloni


",[https://en.wikipedia.org/wiki/Kung_Fu_Panda_3],521200000.0,145000000.0,115600000.0,0.79724137931,1
Steve Beck,Steve Beck,"[https://en.wikipedia.org/wiki/Thirteen_Ghosts, https://en.wikipedia.org/wiki/Ghost_Ship_(2002_film)]",136767960.0,62000000.0,6383980.0,0.102967419355,2
"Scott Alexander
Larry Karaszewski","Scott Alexander
Larry Karaszewski",[https://en.wikipedia.org/wiki/Screwed_(2000_film)],0.0,0.0,0.0,,1
Michael Ritchie,Michael Ritchie,[https://en.wikipedia.org/wiki/The_Bad_News_Bears],42349782.0,9000000.0,12174891.0,1.35276566667,1
David Lynch,David Lynch,"[https://en.wikipedia.org/wiki/Mulholland_Drive_(film), https://en.wikipedia.org/wiki/Inland_Empire_(film)]",20100000.0,15000000.0,-4950000.0,-0.33,2
Walt Becker,Walt Becker,"[https://en.wikipedia.org/wiki/National_Lampoon%27s_Van_Wilder, https://en.wikipedia.org/wiki/National_Lampoon%27s_Van_Wilder, https://en.wikipedia.org/wiki/Wild_Hogs, https://en.wikipedia.org/wiki/Old_Dogs_(film)]",427000000.0,105000000.0,108500000.0,1.03333333333,4
John Hillcoat,John Hillcoat,"[https://en.wikipedia.org/wiki/The_Road_(2009_film), https://en.wikipedia.org/wiki/Lawless_(film), https://en.wikipedia.org/wiki/Triple_9]",104700000.0,71000000.0,-18650000.0,-0.262676056338,3
Eric Blakeney,Eric Blakeney,[https://en.wikipedia.org/wiki/Gun_Shy_(film)],3221280.0,14000000.0,-12389360.0,-0.884954285714,1
Reggie Rock Bythewood,Reggie Rock Bythewood,[https://en.wikipedia.org/wiki/Biker_Boyz],23510601.0,24000000.0,-12244699.5,-0.5101958125,1
Arthur Hiller,Arthur Hiller,[https://en.wikipedia.org/wiki/The_In-Laws_(1979_film)],38200000.0,9000000.0,10100000.0,1.12222222222,1
Quentin Tarantino,Quentin Tarantino,"[https://en.wikipedia.org/wiki/Kill_Bill#Volume_1, https://en.wikipedia.org/wiki/Kill_Bill#Volume_2, https://en.wikipedia.org/wiki/Kill_Bill#Volume_1, https://en.wikipedia.org/wiki/Inglourious_Basterds, https://en.wikipedia.org/wiki/Django_Unchained]",1746200000.0,350000000.0,523100000.0,1.49457142857,5
Chris Gorak,Chris Gorak,"[https://en.wikipedia.org/wiki/Right_at_Your_Door, https://en.wikipedia.org/wiki/The_Darkest_Hour_(film)]",64600000.0,30000000.0,2300000.0,0.0766666666667,2
Ondi Timoner,Ondi Timoner,"[https://en.wikipedia.org/wiki/Dig!, https://en.wikipedia.org/wiki/We_Live_in_Public]",0.0,0.0,0.0,,2
Michael Pavone,Michael Pavone,[https://en.wikipedia.org/wiki/That%27s_What_I_Am],0.0,0.0,0.0,,1
Frank Oz,Frank Oz,"[https://en.wikipedia.org/wiki/The_Score_(2001_film), https://en.wikipedia.org/wiki/The_Stepford_Wives_(2004_film), https://en.wikipedia.org/wiki/Death_at_a_Funeral_(2007_film)]",262381544.0,167000000.0,-35809228.0,-0.21442651497,3
Sergei Bodrov,Sergei Bodrov,[https://en.wikipedia.org/wiki/Seventh_Son_(film)],114200000.0,95000000.0,-37900000.0,-0.398947368421,1
Louis C.K.,Louis C.K.,[https://en.wikipedia.org/wiki/Pootie_Tang],3300000.0,7000000.0,-5350000.0,-0.764285714286,1
William Malone,William Malone,[https://en.wikipedia.org/wiki/FeardotCom],18900000.0,40000000.0,-30550000.0,-0.76375,1
Douglas McGrath,Douglas McGrath,"[https://en.wikipedia.org/wiki/Nicholas_Nickleby_(2002_film), https://en.wikipedia.org/wiki/Infamous_(film), https://en.wikipedia.org/wiki/I_Don%27t_Know_How_She_Does_It]",36865212.0,47000000.0,-28567394.0,-0.607816893617,3
Todd Solondz,Todd Solondz,"[https://en.wikipedia.org/wiki/Storytelling_(film), https://en.wikipedia.org/wiki/Palindromes_(film), https://en.wikipedia.org/wiki/Life_During_Wartime_(film), https://en.wikipedia.org/wiki/Happiness_(1998_film)]",3552206.0,7500000.0,-5723897.0,-0.763186266667,4
Barbet Schroeder,Barbet Schroeder,[https://en.wikipedia.org/wiki/Murder_by_Numbers],56714147.0,50000000.0,-21642926.5,-0.43285853,1
Jessica Bendinger,Jessica Bendinger,[https://en.wikipedia.org/wiki/Stick_It],31976848.0,20000000.0,-4011576.0,-0.2005788,1
"


Anthony Hemingway


","


Anthony Hemingway


",[https://en.wikipedia.org/wiki/Red_Tails],50400000.0,58000000.0,-32800000.0,-0.565517241379,1
Lodge Kerrigan,Lodge Kerrigan,[https://en.wikipedia.org/wiki/Keane_(film)],394390.0,850000.0,-652805.0,-0.768005882353,1
Paul Haggis,Paul Haggis,"[https://en.wikipedia.org/wiki/Crash_(2004_film), https://en.wikipedia.org/wiki/In_the_Valley_of_Elah, https://en.wikipedia.org/wiki/The_Next_Three_Days]",195300000.0,59500000.0,38150000.0,0.641176470588,3
Marnie of [my] Memories,Marnie of [my] Memories,[https://en.wikipedia.org/wiki/When_Marnie_Was_There],0.0,0.0,0.0,,1
Kurt Wimmer,Kurt Wimmer,"[https://en.wikipedia.org/wiki/Equilibrium_(film), https://en.wikipedia.org/wiki/Ultraviolet_(film)]",36400000.0,50000000.0,-31800000.0,-0.636,2
Stanley Tucci,Stanley Tucci,[https://en.wikipedia.org/wiki/Joe_Gould%27s_Secret_(film)],0.0,0.0,0.0,,1
Jonathan Hensleigh,Jonathan Hensleigh,"[https://en.wikipedia.org/wiki/The_Punisher_(2004_film), https://en.wikipedia.org/wiki/Kill_the_Irishman]",55890000.0,45000000.0,-17055000.0,-0.379,2
Ericson Core,Ericson Core,"[https://en.wikipedia.org/wiki/Invincible_(2006_film), https://en.wikipedia.org/wiki/Point_Break_(2015_film)]",192200000.0,135000000.0,-38900000.0,-0.288148148148,2
Kevin Asch,Kevin Asch,[https://en.wikipedia.org/wiki/Holy_Rollers_(film)],0.0,0.0,0.0,,1
Fede Álvarez,Fede Álvarez,[https://en.wikipedia.org/wiki/Evil_Dead_(2013_film)],97500000.0,17000000.0,31750000.0,1.86764705882,1
Jesse V. Johnson,Jesse V. Johnson,[https://en.wikipedia.org/wiki/The_Package_(2013_film)],0.0,0.0,0.0,,1
RZA,RZA,[https://en.wikipedia.org/wiki/The_Man_with_the_Iron_Fists],19700000.0,15000000.0,-5150000.0,-0.343333333333,1
Aaron Schneider,Aaron Schneider,[https://en.wikipedia.org/wiki/Get_Low_(film)],9700000.0,7000000.0,-2150000.0,-0.307142857143,1
Peter Landesman,Peter Landesman,"[https://en.wikipedia.org/wiki/Parkland_(film), https://en.wikipedia.org/wiki/Concussion_(2015_film)]",50012181.0,45000000.0,-19993909.5,-0.4443091,2
Kevin Tancharoen,Kevin Tancharoen,"[https://en.wikipedia.org/wiki/Fame_(2009_film), https://en.wikipedia.org/wiki/Glee:_The_3D_Concert_Movie]",95884633.0,27000000.0,20942316.5,0.775641351852,2
Alexandre Aja,Alexandre Aja,"[https://en.wikipedia.org/wiki/The_Hills_Have_Eyes_(2006_film), https://en.wikipedia.org/wiki/The_Hills_Have_Eyes_(2006_film), https://en.wikipedia.org/wiki/Mirrors_(film), https://en.wikipedia.org/wiki/Mirrors_(film), https://en.wikipedia.org/wiki/Piranha_3-D]",377300000.0,124000000.0,64650000.0,0.521370967742,5
Sophie Barthes,Sophie Barthes,[https://en.wikipedia.org/wiki/Cold_Souls],0.0,0.0,0.0,,1
Gábor Csupó,Gábor Csupó,[https://en.wikipedia.org/wiki/Bridge_to_Terabithia_(2007_film)],137600000.0,20000000.0,48800000.0,2.44,1
Gregory Hoblit,Gregory Hoblit,"[https://en.wikipedia.org/wiki/Frequency_(film), https://en.wikipedia.org/wiki/Hart%27s_War, https://en.wikipedia.org/wiki/Fracture_(2007_film), https://en.wikipedia.org/wiki/Untraceable]",120759594.0,66000000.0,-5620203.0,-0.0851545909091,4
Bennett Miller,Bennett Miller,"[https://en.wikipedia.org/wiki/Capote_(film), https://en.wikipedia.org/wiki/Moneyball_(film), https://en.wikipedia.org/wiki/Foxcatcher]",173000000.0,81000000.0,5500000.0,0.0679012345679,3
Daisy von Scherler Mayer,Daisy von Scherler Mayer,[https://en.wikipedia.org/wiki/The_Guru_(2002_film)],24128852.0,11000000.0,1064426.0,0.096766,1
Matthew Weiner,Matthew Weiner,[https://en.wikipedia.org/wiki/You_Are_Here_(2013_film)],0.0,0.0,0.0,,1
Dan Mazer,Dan Mazer,[https://en.wikipedia.org/wiki/Dirty_Grandpa],99900000.0,11500000.0,38450000.0,3.34347826087,1
Scott Derrickson,Scott Derrickson,"[https://en.wikipedia.org/wiki/The_Exorcism_of_Emily_Rose, https://en.wikipedia.org/wiki/The_Day_the_Earth_Stood_Still_(2008_film), https://en.wikipedia.org/wiki/Sinister_(film), https://en.wikipedia.org/wiki/Deliver_Us_from_Evil_(2014_film)]",542900000.0,132300000.0,139150000.0,1.05177626606,4
Brad Silberling,Brad Silberling,"[https://en.wikipedia.org/wiki/Moonlight_Mile_(film), https://en.wikipedia.org/wiki/Lemony_Snicket%27s_A_Series_of_Unfortunate_Events, https://en.wikipedia.org/wiki/10_Items_or_Less_(film), https://en.wikipedia.org/wiki/Land_of_the_Lost_(film)]",287900000.0,261000000.0,-117050000.0,-0.44846743295,4
Chris Robinson,Chris Robinson,[https://en.wikipedia.org/wiki/ATL_(film)],21200000.0,20000000.0,-9400000.0,-0.47,1
yǐn shí nán nǚ,yǐn shí nán nǚ,[https://en.wikipedia.org/wiki/Eat_Drink_Man_Woman],0.0,0.0,0.0,,1
David R. Ellis,David R. Ellis,"[https://en.wikipedia.org/wiki/Final_Destination_2, https://en.wikipedia.org/wiki/Cellular_(film), https://en.wikipedia.org/wiki/Final_Destination_2, https://en.wikipedia.org/wiki/Snakes_on_a_Plane, https://en.wikipedia.org/wiki/The_Final_Destination, https://en.wikipedia.org/wiki/The_Final_Destination, https://en.wikipedia.org/wiki/Shark_Night_3D]",711789289.0,215000000.0,140894644.5,0.655323927907,7
Lorene Scafaria,Lorene Scafaria,[https://en.wikipedia.org/wiki/Seeking_a_Friend_for_the_End_of_the_World],9600000.0,10000000.0,-5200000.0,-0.52,1
Sean McGinly,Sean McGinly,[https://en.wikipedia.org/wiki/The_Great_Buck_Howard],0.0,0.0,0.0,,1
Nicole Holofcener,Nicole Holofcener,"[https://en.wikipedia.org/wiki/Lovely_%26_Amazing, https://en.wikipedia.org/wiki/Friends_with_Money, https://en.wikipedia.org/wiki/Please_Give, https://en.wikipedia.org/wiki/Enough_Said_(film)]",52795781.0,17750000.0,8647890.5,0.487205098592,4
Stacie Passon,Stacie Passon,[https://en.wikipedia.org/wiki/Concussion_(2013_film)],0.0,0.0,0.0,,1
Phyllida Lloyd,Phyllida Lloyd,[https://en.wikipedia.org/wiki/Mamma_Mia!_(film)],609800000.0,52000000.0,252900000.0,4.86346153846,1
Dan Ireland,Dan Ireland,[https://en.wikipedia.org/wiki/Mrs._Palfrey_at_the_Claremont],3919275.0,750000.0,1209637.5,1.61285,1
Luke Scott,Luke Scott,[https://en.wikipedia.org/wiki/Morgan_(2016_film)],8800000.0,8000000.0,-3600000.0,-0.45,1
Éva Gárdos,Éva Gárdos,[https://en.wikipedia.org/wiki/An_American_Rhapsody],0.0,0.0,0.0,,1
Joel Gallen,Joel Gallen,[https://en.wikipedia.org/wiki/Not_Another_Teen_Movie],66500000.0,15000000.0,18250000.0,1.21666666667,1
Ed Gass-Donnelly,Ed Gass-Donnelly,[https://en.wikipedia.org/wiki/The_Last_Exorcism_Part_II],15100000.0,5000000.0,2550000.0,0.51,1
Ernest R. Dickerson,Ernest R. Dickerson,[https://en.wikipedia.org/wiki/Never_Die_Alone],0.0,0.0,0.0,,1
Jorge R. Gutierrez,Jorge R. Gutierrez,[https://en.wikipedia.org/wiki/The_Book_of_Life_(2014_film)],99800000.0,50000000.0,-100000.0,-0.002,1
Asger Leth,Asger Leth,[https://en.wikipedia.org/wiki/Man_on_a_Ledge],46200000.0,42000000.0,-18900000.0,-0.45,1
Anand Tucker,Anand Tucker,"[https://en.wikipedia.org/wiki/Shopgirl_(film), https://en.wikipedia.org/wiki/Leap_Year_(2010_film)]",32600000.0,19000000.0,-2700000.0,-0.142105263158,2
Sydney Pollack,Sydney Pollack,[https://en.wikipedia.org/wiki/The_Interpreter],162900000.0,80000000.0,1450000.0,0.018125,1
Janusz Kamiński,Janusz Kamiński,[https://en.wikipedia.org/wiki/Lost_Souls_(film)],31355910.0,50000000.0,-34322045.0,-0.6864409,1
Bobcat Goldthwait,Bobcat Goldthwait,"[https://en.wikipedia.org/wiki/Sleeping_Dogs_Lie_(2006_film), https://en.wikipedia.org/wiki/World%27s_Greatest_Dad, https://en.wikipedia.org/wiki/God_Bless_America_(film)]",295750.0,10000000.0,-9852125.0,-0.9852125,3
Jamie Travis,Jamie Travis,"[https://en.wikipedia.org/wiki/For_a_Good_Time,_Call...]",1251749.0,1300000.0,-674125.5,-0.518558076923,1
